id,longitude,latitude
1,116.567863,39.92872
2,116.51108,39.808041
3,116.362412,40.0491
4,116.473179,40.068909
5,116.357491,40.014342
6,116.624633,40.198006
7,116.35084,40.043471
8,116.421,39.907457
9,116.640654,39.857004
10,116.764491,40.052227
11,116.292821,40.036582
12,116.382443,40.10629
13,116.44013,40.016736
14,116.704124,39.969778
15,116.636677,40.132348
16,116.586202,40.167382
17,116.532756,39.94141
18,116.669051,39.951517
19,116.468338,39.962466
20,116.295869,39.80226
21,116.28733,40.020302
22,116.250132,39.901554
23,116.655037,40.191385
24,116.231015,40.15054
25,116.348081,39.892179
26,116.427866,39.875503
27,116.379117,39.972843
28,116.297401,39.80866
29,116.210637,40.101097
30,116.571932,40.091539
31,116.669526,39.812341
32,116.766687,39.972646
33,116.735311,40.115707
34,116.464254,40.15915
